('Solar Zenith Angle', 0.52861746316972469)
('Hour6', 0.12188892799233461)
('Hour17', 0.07780831693064745)
('Precipitable Water', 0.028969747221072178)
('Hour7', 0.023493505642942548)
('Temperature', 0.022317136504586534)
('Pressure', 0.021016108848367542)
('Wind Speed', 0.0208064349422682)
('Relative Humidity', 0.019638819126034355)
('Dew Point', 0.015061201677829438)
('City2', 0.010444075666344472)
('City3', 0.0067050276328075838)
('Month5', 0.0023909796728054074)
('City1', 0.0023448525322440489)
('Day18', 0.0023185246062978841)
('Day14', 0.002302476671458417)
('Month9', 0.0022947974832904301)
('Day9', 0.0022863391835916706)
('Day16', 0.0022634679827592597)
('Day13', 0.002242949757118788)
('Day17', 0.0022301967149850202)
('Day11', 0.0022285689524488249)
('Day27', 0.002201507030685221)
('Day28', 0.0021994969728988726)
('Day21', 0.0021973966252926977)
('Day8', 0.002189453164178646)
('Day19', 0.002177313817037329)
('Day26', 0.0021771548862313255)
('Day20', 0.0021767123863244177)
('Day7', 0.0021738785601757697)
('Day12', 0.0021730271465631645)
('Day15', 0.0021609141279894375)
('Day6', 0.0021588817336536063)
('Day25', 0.0021478835519441112)
('Day24', 0.0021306878895166461)
('Day4', 0.0021214183460921106)
('Day23', 0.0021174075130106435)
('Day10', 0.0021018701616636877)
('Hour16', 0.0020995284816153156)
('Day5', 0.0020944835508276542)
('Day22', 0.0020731073576322227)
('Day1', 0.0020546902636125824)
('Day29', 0.002024989452815729)
('Day3', 0.0020237460374485463)
('Day2', 0.0019902769689396711)
('Day30', 0.0019523676205849181)
('Month6', 0.0019124286216619032)
('Month7', 0.0018770043650530842)
('Month10', 0.0018436337212446199)
('Month8', 0.0018225963050737455)
('Month2', 0.0017863043854835867)
('Month4', 0.001737853098388354)
('Hour13', 0.0017053257800806691)
('Month3', 0.0015603345853866264)
('Hour10', 0.0015586759083223275)
('Hour11', 0.0015527998051725834)
('Hour12', 0.0015527554064091763)
('City4', 0.0014994789621780172)
('Month11', 0.0013335132546580179)
('Day31', 0.0013234301896679693)
('City0', 0.0012007770216036916)
('Hour8', 0.0010993841168979728)
('Hour14', 0.0010902545927447727)
('Hour9', 0.000786739619208749)
('Hour15', 0.00072982506926574204)
('Month12', 0.00072864337728734282)
('Month1', 0.00071012925551740399)
